Id_A,SAME_AS,Id_B
18780179,SAME_AS,18810179
18390176,SAME_AS,18810179
18780180,SAME_AS,18810180
18780181,SAME_AS,18810181
18780154,SAME_AS,18810182
18570561,SAME_AS,18810182
18570535,SAME_AS,18810183
18780156,SAME_AS,18810184
18572102,SAME_AS,18810185
18780185,SAME_AS,18810185
18780186,SAME_AS,18810186
18571002,SAME_AS,18810187
18780187,SAME_AS,18810187
18780188,SAME_AS,18810188
18572104,SAME_AS,18810188
18780189,SAME_AS,18810189
18780190,SAME_AS,18810190
18780191,SAME_AS,18810191
18780192,SAME_AS,18810192
18780161,SAME_AS,18810194
18571928,SAME_AS,18810194
18571720,SAME_AS,18810195
18780163,SAME_AS,18810196
18780164,SAME_AS,18810197
18780165,SAME_AS,18810198
18780010,SAME_AS,18810202
18780011,SAME_AS,18810203
18780012,SAME_AS,18810204
18780014,SAME_AS,18810205
18780015,SAME_AS,18810206
18780013,SAME_AS,18810208
18780178,SAME_AS,18810212
18572072,SAME_AS,18810212
18780173,SAME_AS,18810213
18571047,SAME_AS,18810213
18780176,SAME_AS,18810215
18780177,SAME_AS,18810216
18571048,SAME_AS,18810217
18780174,SAME_AS,18810217
18780175,SAME_AS,18810218
18571960,SAME_AS,18810219
18781481,SAME_AS,18810221
18571272,SAME_AS,18810221
18570564,SAME_AS,18810230
18780182,SAME_AS,18810230
18780183,SAME_AS,18810231
18572267,SAME_AS,18810232
18780193,SAME_AS,18810232
18570455,SAME_AS,18810233
18780194,SAME_AS,18810233
18780237,SAME_AS,18810236
18570124,SAME_AS,18810236
18780240,SAME_AS,18810238
18780242,SAME_AS,18810239
18780203,SAME_AS,18810240
18780204,SAME_AS,18810241
18570574,SAME_AS,18810241
18780206,SAME_AS,18810242
18570174,SAME_AS,18810242
18780207,SAME_AS,18810243
18780065,SAME_AS,18810245
18570131,SAME_AS,18810245
18780239,SAME_AS,18810246
18780263,SAME_AS,18810251
18780264,SAME_AS,18810252
18780265,SAME_AS,18810253
18780266,SAME_AS,18810254
18572166,SAME_AS,18810255
18780223,SAME_AS,18810256
18572388,SAME_AS,18810256
18780224,SAME_AS,18810257
18782454,SAME_AS,18810258
18780280,SAME_AS,18810260
18570714,SAME_AS,18810260
18780281,SAME_AS,18810261
18780282,SAME_AS,18810262
18780284,SAME_AS,18810263
18780285,SAME_AS,18810264
18780286,SAME_AS,18810265
18780287,SAME_AS,18810266
18571632,SAME_AS,18810267
18780288,SAME_AS,18810267
18780289,SAME_AS,18810268
18780290,SAME_AS,18810269
18571635,SAME_AS,18810269
18780291,SAME_AS,18810270
18780292,SAME_AS,18810271
18780293,SAME_AS,18810272
18780294,SAME_AS,18810273
18780468,SAME_AS,18810274
18780469,SAME_AS,18810275
18571551,SAME_AS,18810275
18572143,SAME_AS,18810279
18782723,SAME_AS,18810279
18782724,SAME_AS,18810280
18782725,SAME_AS,18810281
18782726,SAME_AS,18810282
18782727,SAME_AS,18810283
18780243,SAME_AS,18810284
18780245,SAME_AS,18810286
18780246,SAME_AS,18810287
